query,type
  Book    flight    that    takes    5    hours    to    reach    Cochin    International    Airport    from    Seeb    International    Airport    today  ,flight
  Book    air    ticket    that    takes    5    hours    to    reach    Cochin    International    Airport    from    Seeb    International    Airport    today  ,flight
  Get    me    details    of    flight    from    Washington    to    Miami    for    2    people    with    a    child  ,flight
  book    return    flight    to    dewas    for    harry    potter    and    hermaini    on    1    12    18  ,flight
  Hey    Genie    Can    you    book    a    flight    for    me    from    Dubai    to    Moscow  ,flight
  Bangalore  ,flight
  What    about    Mumbai    to    Philadelphia  ,flight
  Find    quickest    flights    between    Tallinn    amd    Minesota    for    Josef    Stalin    on    3    July    and    a    return    flight    on    8    July    in    Business    Class    with    Aeroloft  ,flight
  book    one    side    trip    flight    tickets    in    amritsar    nasik    having    departure    date    on    04    03    18    and    return    date    on    09    03    18  ,flight
  Book    flight    from    Indore    to    Mumbai    Airport    on    sunday  ,flight
  Show    me    quickest    flights    from    Luxor    Khartoum    on    5th    of    October    for    my    four    friends    and    I    next    to    next    sunday  ,flight
  Show    me    flights    available    from    New    Delhi    to    Brussels    with    a    layover    in    Frankfurt  ,flight
  Find    flights    in    range    of    6951    4000    Rupees    for    three    adults    two    children    and    one    infant    in    economy    class    for    Zurich    London  ,flight
  Show    me    flights    from    Mumbai    to    Aizwal    in    Premium    Economy  ,flight
  Delta    Airlines  ,flight
  For    Bill    Clinton    and    Moniky    Lewinsky    book    a    flight    to    Washington    from    Chicago    on    12    August    in    Business    Class    with    Air    Force    One    Airlines  ,flight
  i    would    like    to    travel    by    Jetstar    Airways  ,flight
  this    Mors    Day  ,flight
  book    flight    for    ahilya    for    ahilya    devi    International    Airport    from    mumbai    on    03    09    18    for    3    people  ,flight
  a    week  ,flight
  Book    a    flight    from    Srinagar    that    reaches    seattle    within    5    hours  ,flight
  On    27    Apr    Book    flight    from    Indore    to    Mumbai    Airport  ,flight
  i    want    business    class    flight    for    atlanta    for    5    teachers  ,flight
  Can    you    help    me    in    finding    budget    airline    below    20000    Rupees    from    New    Delhi    to    Amsterdam  ,flight
  Can    you    help    me    in    cancelation    of    my    ticket  ,flight
  Indore    Singapore  ,flight
  Day    after    today  ,flight
  for    2    people  ,flight
  Air    tickets    from    Chhatrapati    Shivaji    International    Airport    to    London    Gatwick    Airport    on    27    April  ,flight
  Book    flight    from    IDR    to    DEL    today  ,flight
  Find    flights    to    Boston    from    Innsbruck    for    on    21    Febraury    and    return    ticket    on    29    February    for    Santa    Claus    in    Business    Class  ,flight
  From    Nainital    find    me    fastest    flights    available    for    costing    less    than    45600    rupees    to    Jaisalmer    for    my    wife    and    I  ,flight
  miss    Karine    Dunham    is    going    to    russia    please    book    a    flight    for    her  ,flight
  Hey    Genie    What    is    cheapest    flight    right    now    for    Darwin    from    Perth  ,flight
  Check    rates    for    flight    from    Indore    to    Mumbai    Airport    on    sunday  ,flight
  i    want    to    upgrade    my    ticket  ,flight
  ohk    is    re    is    any    business    class    available    in    any    of    flight  ,flight
  Book    flight    to    Mumbai    that    costs    less    than    4000  ,flight
  Could    you    help    me    in    booking    flight    tickets    from    Kolkata    to    Osaka  ,flight
  any    good    friday  ,flight
  Need    flight    to    Hanoi    on    tuesday  ,flight
  Book    direct    flights    to    Banglore  ,flight
  Can    you    book    a    flight    for    me    from    Mumbai    to    Bucharest  ,flight
  My    last    ticket    should    be    book    with    Kingfisher    for    Bhopal    but    my    budget    is    only    59324  ,flight
  Next    to    Next    sunday  ,flight
  Sure    Find    me    a    flight    on    1    March  ,flight
  On    05    08    2018  ,flight
  Search    for    flights    to    Victoria    from    Dresden    for    one    child    three    adults    on    21    April    costing    more    than    4239    and    less    than    5100  ,flight
  Find    flights    for    two    adults    and    one    infant    in    Business    Class    to    Colombo    on    21    April  ,flight
  Book    flight    to    Bombay    for    2    people  ,flight
  Find    me    flights    for    George    Harrison    and    Paul    McCartney    from    Compton    L    A    to    New    York    in    Premium    Business    Class    on    6    March    and    a    return    flight    on    19    March  ,flight
  Can    you    help    me    in    finding    a    flight    from    Mumbai    to    Ireland    with    cabin    luggage    capacity    above    14    kg  ,flight
  Show    Jet    Airways  ,flight
  2    ticket    for    mumbai    delhi    flight  ,flight
  I    have    meeting    in    Paris    Can    you    book    me    a    flight    for    Rogelio    for    Charles    de    Gaulle    Airport    of    late    night    on    This    weekend  ,flight
  from    nashik  ,flight
  book    a    ticket    in    one    having    cheapest    cost  ,flight
  In    First    Class    find    flights    to    Hajira    from    Gowardhan    in    Canadian    Airlines    for    3    adults    two    children    and    one    infant  ,flight
  Search    for    cheapest    travel    option    to    singapore    on    24    May  ,flight
  Book    a    cab    from    Gulhane    Park    to    Erdogan     s    house    in    Sirikeci    Saray    tonight    at    8    PM  ,flight
  Show    me    flights    from    Indore    that    reaches    Bangalore    under    5    hours  ,flight
  book    flight    tickets    in    patna    chennai    on    23    08    18    for    jayesh    and    avni  ,flight
  Show    me    airlines    with    cheapest    fare    for    mumbai    houston  ,flight
  Beijing    Hong    Kong  ,flight
  Book    flight    for    2    adult    and    1    kid    to    Singapore    next    tuesday  ,flight
  Malabo    to    Bujumbura  ,flight
  Czech    Airlines  ,flight
  i    want    to    fly    on    7    November  ,flight
  hi    gini    book    flight    ticket    for    Indira    for    Sri    Guru    Ram    Dass    Jee    International    Airport    from    Pathankot    Airport    on    09    09    18  ,flight
  find    me    flights    for    akbar    and    rasul    on    03    09    18  ,flight
  book    flight    for    aditya    khare    and    his    girl    friend    purva    kushwah    for    Swami    Vivekananda    Airport    on    23    11    18  ,flight
  22    nd    July  ,flight
  Get    me    flights    for    2    adults    with    indigo    flight  ,flight
  Show    me    all    available    flights    in    business    class    to    Minneapolis    from    Kolkata    for    Henry    Kissinger    on    8    April    2018  ,flight
  i    want    to    travel    on    today    morning  ,flight
  I    want    to    fly    from    Indore    to    Hyderabad    next    week  ,flight
  on    this    janmashtami  ,flight
  Search    a    plane    from    London    to    New    York  ,flight
  This    wednesday    I    want    Jet    Airways    2396  ,flight
  Get    me    flights    for    2    with    air    india    on    tuesday  ,flight
  Compare    flight    AI1234    and    JW1234  ,flight
  This    saturday    Book    plane    non    stop    to    bangalore  ,flight
  This    christmas  ,flight
  I    want    2    Air    Tickets    for    Chennai    Jaipur  ,flight
  On    day    following    diwali    Get    Air    Ticket    from    Indore    to    Mumbai    less    than    6500    and    more    than    2500  ,flight
  Show    cheapest    flights    available    for    Gwalior    Jamshedpur    on    19th    December    for    Peter    Griffin  ,flight
  Last    day    of    May  ,flight
  Mumbai  ,flight
  book    flight    for    amitansh    and    his    girlfriend    purvi    joshi    from    Lilabari    Airport    for    Tezpur    Airport    on    09    08    18  ,flight
  Find    a    flight    from    Indore    to    Bangalore    that    takes    costing    less    than    5    hour    on    24    May  ,flight
  Find    Garuda    Airline    for    Ho    Lee    Fuk    to    Jakarta    from    Zagreb    on    6    February    and    return    ticket    on    10    February  ,flight
  book    flight    for    Indira    Gandhi    International    Airport    for    hardik    on    04    09    18  ,flight
  Find    cheapest    flights    to    Java    from    Chennai    for    Tribhuwana    Wijayatunggadewi    on    21    July  ,flight
  Book    Air    Asia    to    Goa    on    saturday  ,flight
  Fly    me    from    Chhatrapati    Shivaji    International    Airport    to    London    Gatwick    Airport    on    27    April  ,flight
  find    me    quickest    flights    to    Djibouti    from    Mozambique    for    my    parents    and    I    Also    make    departure    date    on    12    January  ,flight
  Want    Business    class    Plane    to    Tokyo    on    26    April    late    night  ,flight
  day    after    today  ,flight
  Singapore    on    26    April  ,flight
  Could    you    help    me    in    booking    a    flight    to    Rangoon    from    Kolkata    for    Lord    Mountbatten    on    16    August    with    Air    India    in    First    Class  ,flight
  Need    a    flight    from    Changi    Airport  ,flight
  Get    me    flights    for    2    with    swiss    airline    today  ,flight
  this    Mors    Day  ,flight
  today    early    morning    Book    flight    from    IDR    to    DEL  ,flight
  Search    last    flight    this    monday    to    dubai    at    3    pm  ,flight
  Look    for    flight    to    Delhi  ,flight
  On    5    November    Book    5    flight    tickets    to    Delhi    that    costs    above    4598  ,flight
  genie    could    you    please    book    flight    for    John    Kennedy    International    Airport    for    miss    geneliya    and    miss    radhika  ,flight
  Want    air    tickets    to    Osaka    on    tuesday  ,flight
  book    a    table    in    a    5    star    hotel    room    should    be    book    by    name    of    aamir    mushtaq    wani  ,flight
  Search    flight    that    takes    5    hrs    to    reach    Cochin    International    Airport    from    Seeb    International    Airport    today  ,flight
  Book    me    flight    from    Mumbai    to    Tehran    with    Zagros    Airlines  ,flight
  re    is    only    one    adult  ,flight
  I    want    to    book    a    flight    for    two    adults    and    three    children    to    Arkansas    from    Amsterdam    under    budget    of    30000    Rupees  ,flight
  Get    me    flight    from    Indore    Airport    to    Mumbai    Airport  ,flight
  Search    for    fastest    planes    for    Mumbai    to    Toronto  ,flight
  Get    a    Plane    to    Banglore    without    any    Halt  ,flight
  Find    flights    to    Mangalore    from    ahmedabad    for    John    Denver    and    his    two    children    in    Economy    Class  ,flight
  book    plane    with    emirates    for    4    from    Dubai  ,flight
  Fly    me    from    Chhatrapati    Shivaji    International    Airport    to    London    Gatwick    Airport    3    day    after    today    morning  ,flight
  I    want    to    fly    on    2nd    June  ,flight
  For    John    Cena    book    a    flight    to    Toronto    from    Vancouver    on    21    August    and    a    return    flight    on    25    August    in    Economy    Class  ,flight
  book    flight    tickets    in    patna    chicago    on    23    08    18    for    1    adult    early    evening  ,flight
  hyderabad    to    pune  ,flight
  3    people  ,flight
  book    one    side    trip    flight    tickets    in    amritsar    nasik    for    parinidhi    chopda    and    nidhi    soni    having    departure    date    on    04    03    18    and    return    date    on    09    03    18  ,flight
  book    me    a    flight    from    Alexandria    to    San    Francisco  ,flight
  ohk    book    first    flight  ,flight
  Book    flight    to    Mumbai    under    5693  ,flight
  today    5    00    pm  ,flight
  book    a    arrival    ticket    3    days    after    diwali    for    simran    sachdev    and    kuldeep  ,flight
  Show    flights    to    Amsterdam    from    Ghana    for    three    children    one    adult    and    two    infants    in    first    class    below    3698    euros  ,flight
  do    you    book    tickets    for    hawai  ,flight
  this    Mors    Day  ,flight
  Can    you    book    Indigo    to    Banglore    for    me  ,flight
  Book    a    flight    to    Liverpool    from    Nicaragua    for    Jason    Statham    and    Leonard    Cole    in    Business    Class    with    British    Airways    on    8    April    and    a    return    flight    on    11    May  ,flight
  India    Singapore  ,flight
  hi    book    flight    from    ratlam    to    haridwar    on    23    09    18    for    09    people    in    jet    airways  ,flight
  Show    Jet    Airways  ,flight
  Book    flight    from    IDR    to    DEL  ,flight
  Find    flights    for    one    adult    and    two    infants    in    range    of    2000    3000    rupees    with    Mongol    Airlines    to    Ullaspur    from    Naspur  ,flight
  Beijing  ,flight
  Okay    i    want    to    depart    on    5    July  ,flight
  Diwali  ,flight
  Can    you    help    me    in    booking    flight    from    Mumbai    to    San    Diego  ,flight
  Diwali  ,flight
  Indore    Singapore  ,flight
  Get    me    Air    Asia    from    Indore    to    Goa    on    saturday  ,flight
  book    a    tickets    for    4    persons  ,flight
  search    a    flight    for    me    to    Dubai    of    business    class  ,flight
  For    Jim    Morrison    find    flights    to    Paris    from    Benghazi    in    Business    Class    with    United    Airlines    on    16    January    and    a    return    flight    on    20    January  ,flight
  book    flight    tickets    for    jamshedpur    having    departure    date    on    23    03    18    for    23    adult    and    3    children  ,flight
  Find    me    quickest    flight    from    Mumbai    to    Sunan    International    Airport  ,flight
  Show    flight    from    Indore    to    Hyderabad    next    month  ,flight
  book    flight    to    chicago    for    shilpa    and    saroj  ,flight
  Book    a    flight    for    Rasputin    to    Salt    Lake    City    Utah    from    Dresden    on    4    April    in    Business    Class  ,flight
  Book    flight    from    Indore    to    Mumbai    Airport    on    27    Apr  ,flight
  Can    you    find    me    first    flight    from    Indore    to    Mumbai    today    for    5    adults  ,flight
  Get    me    flights    for    2    to    Bali    on    tuesday    afternoon  ,flight
  Next    to    Next    thursday    Book    flight    from    IDR    to    DEL    on    early    afternoon  ,flight
  Book    earliest    flight    to    singapore    day    after    today    late    night  ,flight
  ohk    book    one    having    best    service  ,flight
  can    you    help    me    catching    flight    towards    antalya  ,flight
  I    am    planning    trip    with    friends    to    Kansas    City    So    book    a    flight    for    Swapnil    Aditya    Ashish    for    Charles    B    Wheeler    Downtown    Airport  ,flight
  Hey    Genie    !    Book    me    a    direct    flight    for    3    adults    from    New    Delhi    to    Glasgow  ,flight
  from    Vellore    to    Pantnagar  ,flight
  next    to    next    friday  ,flight
  i    am    planning    to    travel    on    30th    June    2018  ,flight
  hi    book    flight    from    osaka    to    paris    in    american    airlines    on    23    09    18  ,flight
  Book    flight    for    rakhi    from    sydney  ,flight
  Hey    Genie    i    d    like    to    know    details    about    outbound    flights    to    Cochin  ,flight
  tokyo  ,flight
  hi    book    flight    to    kazakhstan    on    4    July    2018    for    2    people    and    book    return    ticket    on    tuesday    July  ,flight
  I    can    t    see    boeing  ,flight
  i    want    to    fly    with    Air    Koryo  ,flight
  Find    a    flight    for    4    people    from    Chennai    to    Bangkok  ,flight
  Uhuh    4    September  ,flight
  Show    economy    seats  ,flight
  Book    2    flight    tickets    in    surat    kanpur    on    03    05    18    for    elexzender    and    disha  ,flight
  i    want    a    flight    for    Yeduguri    Sandanti    Rajashekhar    Reddy    Airport    from    Lokpriya    Gopinath    Bordoloi    International    Airport  ,flight
  This    saturday    night    Book    non    stop    air    tickets    to    bangalore  ,flight
  Find    flights    to    Graz    from    Minnesota    for    five    adults    and    two    infants    under    40000    Rupees    on    12    June    and    a    return    ticket    on    19    June  ,flight
  Mumbai  ,flight
  i    want    to    book    a    flight    for    Hanover  ,flight
  Flight    options    from    Indore    to    delhi    for    2    people    on    4    May    2018  ,flight
  This    Diwali  ,flight
  book    me    a    ticket    to    long    islands  ,flight
  what    is    status    of    flight    tickets    i    booked    3    days    after    diwali  ,flight
