query	label	table
book me Radisson on eighteen March for twenty seven days in Siang	O O B-hotel_name O  B-day_number  B-month_name  O  B-days  I-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> B-hotel_name <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  I-days  <NOTABLE> B-city_name 
book me Hotel Raj Shahi  on 6 September for twenty eight days in Nawada	O O  B-hotel_name I-hotel_name I-hotel_name O  B-day_number  B-month_name  O  B-days  I-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> B-hotel_name I-hotel_name I-hotel_name <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  I-days  <NOTABLE> B-city_name 
book me Hotel Surya on six September for 22 days in Barkatpura	O O  B-hotel_name I-hotel_name O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> B-hotel_name I-hotel_name <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
book me Radisson on twenty five May for eleven days in Chittoor	O O B-hotel_name O  B-day_number  I-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> B-hotel_name <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
book me Hotel Surya on 8 January 2024 for twenty three days in Shahjahanpur	O O  B-hotel_name I-hotel_name O  B-day_number  B-month_name B-year  O  B-days  I-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> B-hotel_name I-hotel_name <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  I-days  <NOTABLE> B-city_name 
book me Hotel Raj Shahi  on twenty seven February 2036 for ninteen days in Mettupalayam	O O  B-hotel_name I-hotel_name I-hotel_name O  B-day_number  I-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> B-hotel_name I-hotel_name I-hotel_name <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
book me Hotel Surya on 21 July for eight days in Pondicherry	O O  B-hotel_name I-hotel_name O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> B-hotel_name I-hotel_name <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
book me Radisson on 13 July for fourteen days in Bhavnagar	O O B-hotel_name O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> B-hotel_name <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
book me Hotel Raj Shahi  on twenty six February for 4 days in Delhi	O O  B-hotel_name I-hotel_name I-hotel_name O  B-day_number  I-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> B-hotel_name I-hotel_name I-hotel_name <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
book me Raj Shahi  on eighteen April for fifteen days in Nanded	O O  B-hotel_name I-hotel_name  O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE>  B-hotel_name I-hotel_name <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want a cheap resort for Yolanda Price on 29 June near Rajwada Palace 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
i want a cheap homestay for Jesus Davis on 20 October near Amber Fort 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
i want a expensive inn for Amanda Decker on three September 2050 near HPCA Stadium 	O O O  B-cost_relative B-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name B-year  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-landmark  I-landmark 
i want a expensive Farm stay for Douglas Bailey on 19 July near Botanical Garden 	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-person_name  I-person_name  O  B-day_number  B-month_name  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-landmark  I-landmark 
