query,type,,
book me a cab from Long Eaton to Savage,cab,O O O O O B-source I-source O B-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name I-loc_name <NOTABLE> B-loc_name
book me a cab from Ajra to Draa Ben Khedda,cab,O O O O O B-source O B-destination I-destination I-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name <NOTABLE> B-loc_name I-loc_name I-loc_name
book me a cab from Dimbokro to Malyn,cab,O O O O O B-source O B-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name <NOTABLE> B-loc_name
book me a cab from Pittsfield to Euless,cab,O O O O O B-source O B-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name <NOTABLE> B-loc_name
book me a cab from Laiyang to Granadero Baigorria,cab,O O O O O B-source O B-destination I-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name <NOTABLE> B-loc_name I-loc_name
book me a cab from Jawhar to Saint Charles,cab,O O O O O B-source O B-destination I-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name <NOTABLE> B-loc_name I-loc_name
book me a cab from Chuhuyiv to North Amityville,cab,O O O O O B-source O B-destination I-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name <NOTABLE> B-loc_name I-loc_name
book me a cab from Cavaillon to Nirgua,cab,O O O O O B-source O B-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name <NOTABLE> B-loc_name
book me a cab from Seregno to Gerāsh,cab,O O O O O B-source O B-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name <NOTABLE> B-loc_name
book me a cab from Antony to João Pessoa,cab,O O O O O B-source O B-destination I-destination,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-loc_name <NOTABLE> B-loc_name I-loc_name
